SCHEMECODE,S_NAME,CATEGORY_CODE,CATEGORY_NAME,_3Rt,std,INCRET
"19922","SBI Banking and PSU Fund(DD-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","6.7"
"13660","Nippon India Banking and PSU Fund(Q-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.5","6.5"
"32771","Nippon India Banking and PSU Fund(W-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.5","6.7"
"13658","Nippon India Banking and PSU Fund(W-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.5","6.4"
"35727","SBI Banking and PSU Fund(M-IDCW Payout)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","6.7"
"32773","Nippon India Banking and PSU Fund(Q-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","8.0","1.5","6.9"
"35728","SBI Banking and PSU Fund(W-IDCW Payout)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","6.6"
"29216","SBI Banking and PSU Fund(W-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","6.6"
"29217","SBI Banking and PSU Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.9","1.4","6.7"
"8004","SBI Banking and PSU Fund-Reg(G)","72","Debt - Banking and PSU Fund","7.4","1.4","7.5"
"8005","SBI Banking and PSU Fund-Reg(DD-IDCW)","72","Debt - Banking and PSU Fund","7.4","1.4","6.3"
"8047","SBI Banking and PSU Fund-Reg(W-IDCW)","72","Debt - Banking and PSU Fund","7.4","1.4","6.3"
"32855","SBI Banking and PSU Fund-Reg(M-IDCW)","72","Debt - Banking and PSU Fund","7.4","1.4","6.6"
"2960","Sundaram Banking & PSU Fund(G)","72","Debt - Banking and PSU Fund","7.6","1.3","7.4"
"8046","SBI Banking and PSU Fund-Reg(M-IDCW Payout)","72","Debt - Banking and PSU Fund","7.4","1.4","6.6"
"45243","TRUSTMF Banking & PSU Fund-Reg(DD-IDCW)","72","Debt - Banking and PSU Fund","7.9","1.1","6.9"
"45252","TRUSTMF Banking & PSU Fund(Q-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.1","6.1"
"45250","TRUSTMF Banking & PSU Fund(W-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.5","1.1","6.0"
"45245","TRUSTMF Banking & PSU Fund-Reg(M-IDCW)","72","Debt - Banking and PSU Fund","7.3","1.1","5.7"
"45249","TRUSTMF Banking & PSU Fund(DD-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","9.7","1.1","8.2"
"45246","TRUSTMF Banking & PSU Fund-Reg(Q-IDCW)","72","Debt - Banking and PSU Fund","7.2","1.1","5.6"
"45251","TRUSTMF Banking & PSU Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.1","6.1"
"45248","TRUSTMF Banking & PSU Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.1","6.1"
"45242","TRUSTMF Banking & PSU Fund-Reg(G)","72","Debt - Banking and PSU Fund","7.2","1.1","5.6"
"45247","TRUSTMF Banking & PSU Fund-Reg(A-IDCW)","72","Debt - Banking and PSU Fund","7.2","1.1","5.6"
"36123","UTI Banking & PSU Fund(A-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.1","6.2"
"19416","Sundaram Banking & PSU Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.3","7.3"
"2964","Sundaram Banking & PSU Fund(IDCW)","72","Debt - Banking and PSU Fund","7.6","1.3","6.1"
"19415","Sundaram Banking & PSU Fund(IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.7","1.3","6.1"
"45244","TRUSTMF Banking & PSU Fund-Reg(W-IDCW)","72","Debt - Banking and PSU Fund","7.1","1.1","5.6"
"26101","UTI Banking & PSU Fund(G)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.1","7.3"
"30791","UTI Banking & PSU Fund-Reg(A-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.1","6.1"
"32170","UTI Banking & PSU Fund(F-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.1","6.7"
"36122","UTI Banking & PSU Fund(H-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.1","5.0"
"32236","UTI Banking & PSU Fund(M-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.1","5.8"
"30790","UTI Banking & PSU Fund-Reg(H-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.1","6.2"
"26102","UTI Banking & PSU Fund(IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.1","6.7"
"21956","UTI Banking & PSU Fund-Reg(G)","72","Debt - Banking and PSU Fund","7.5","1.1","7.1"
"26100","UTI Banking & PSU Fund-Reg(IDCW)","72","Debt - Banking and PSU Fund","7.5","1.1","6.4"
"45253","TRUSTMF Banking & PSU Fund(A-IDCW)-Direct Plan","72","Debt - Banking and PSU Fund","7.8","1.1","6.1"
"30792","UTI Banking & PSU Fund-Reg(F-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.1","6.1"
"24174","Aditya Birla SL Corp Bond Fund(IDCW)","70","Debt - Corporate Bond Fund","7.9","1.5","7.2"
"453","Aditya Birla SL Corp Bond Fund(G)","70","Debt - Corporate Bond Fund","7.9","1.5","8.9"
"32235","UTI Banking & PSU Fund-Reg(M-IDCW)","72","Debt - Banking and PSU Fund","7.5","1.1","5.7"
"18294","Aditya Birla SL Corp Bond Fund(G)-Direct Plan","70","Debt - Corporate Bond Fund","8.1","1.5","8.2"
"24215","Aditya Birla SL Corp Bond Fund(IDCW)-Direct Plan","70","Debt - Corporate Bond Fund","8.1","1.5","8.0"
"34468","Aditya Birla SL Corp Bond Fund(M-IDCW Reinv)","70","Debt - Corporate Bond Fund","7.9","1.5","6.9"
"37835","Axis Corp Bond Fund-Reg(DD-IDCW)","70","Debt - Corporate Bond Fund","7.7","1.3","6.3"
"37842","Axis Corp Bond Fund(M-IDCW)-Direct Plan","70","Debt - Corporate Bond Fund","8.4","1.3","7.0"
"37840","Axis Corp Bond Fund(DD-IDCW)-Direct Plan","70","Debt - Corporate Bond Fund","8.4","1.3","7.0"
"18295","Aditya Birla SL Corp Bond Fund(M-IDCW)-Direct Plan","70","Debt - Corporate Bond Fund","8.1","1.5","7.0"
"37841","Axis Corp Bond Fund(W-IDCW)-Direct Plan","70","Debt - Corporate Bond Fund","8.4","1.3","7.0"
"36744","Axis Corp Bond Fund-Reg(G)","70","Debt - Corporate Bond Fund","7.7","1.3","7.0"
"37838","Axis Corp Bond Fund(G)-Direct Plan","70","Debt - Corporate Bond Fund","8.4","1.3","7.7"
"43449","Aditya Birla SL Corp Bond Fund(IDCW-Reinv)","70","Debt - Corporate Bond Fund","7.9","1.5","7.2"
"37834","Axis Corp Bond Fund-Reg(IDCW)","70","Debt - Corporate Bond Fund","7.8","1.3","7.0"
"37839","Axis Corp Bond Fund(IDCW)-Direct Plan","70","Debt - Corporate Bond Fund","8.4","1.3","7.7"
"37837","Axis Corp Bond Fund-Reg(M-IDCW)","70","Debt - Corporate Bond Fund","7.7","1.3","6.4"
"37836","Axis Corp Bond Fund-Reg(W-IDCW)","70","Debt - Corporate Bond Fund","7.7","1.3","6.3"
"35426","Aditya Birla SL Corp Bond Fund(M-IDCW Reinv)-Direct Plan","70","Debt - Corporate Bond Fund","8.1","1.5","7.0"
"454","Aditya Birla SL Corp Bond Fund(M-IDCW)","70","Debt - Corporate Bond Fund","7.9","1.5","6.9"
"34215","Bandhan Corp Bond Fund(G)-Direct Plan","70","Debt - Corporate Bond Fund","7.8","1.3","7.4"
"35195","Bandhan Corp Bond Fund(A-IDCW)-Direct Plan","70","Debt - Corporate Bond Fund","7.8","1.3","6.3"
"35194","Bandhan Corp Bond Fund(H-IDCW)-Direct Plan","70","Debt - Corporate Bond Fund","8.1","1.3","5.3"
"34216","Bandhan Corp Bond Fund(IDCW)-Direct Plan","70","Debt - Corporate Bond Fund","7.8","1.3","6.6"
"40687","Bandhan Corp Bond Fund-Reg(IDCW-Reinv)","70","Debt - Corporate Bond Fund","7.4","1.3","6.3"
"43636","Bandhan Corp Bond Fund-Reg(M-IDCW Reinv)","70","Debt - Corporate Bond Fund","7.4","1.3","6.2"
"11893","Baroda BNP Paribas Corp Bond Fund(A-IDCW)","70","Debt - Corporate Bond Fund","8.0","1.5","5.3"
"35169","Bandhan Corp Bond Fund-Reg(Q-IDCW)","70","Debt - Corporate Bond Fund","7.4","1.3","6.3"
"44994","Bandhan Corp Bond Fund-Reg(A-IDCW Reinv)","70","Debt - Corporate Bond Fund","7.4","1.3","5.6"
"35192","Bandhan Corp Bond Fund-Reg(A-IDCW)","70","Debt - Corporate Bond Fund","7.4","1.3","5.6"
"44996","Bandhan Corp Bond Fund-Reg(Q-IDCW Reinv)","70","Debt - Corporate Bond Fund","7.4","1.3","6.3"
"44995","Bandhan Corp Bond Fund-Reg(H-IDCW Reinv)","70","Debt - Corporate Bond Fund","7.4","1.3","6.4"
"43637","Bandhan Corp Bond Fund(IDCW-Reinv)-Direct Plan","70","Debt - Corporate Bond Fund","7.8","1.3","6.6"
"35193","Bandhan Corp Bond Fund(M-IDCW)-Direct Plan","70","Debt - Corporate Bond Fund","7.8","1.3","6.4"
"11855","Baroda BNP Paribas Corp Bond Fund(Q-IDCW)","70","Debt - Corporate Bond Fund","7.9","1.5","5.9"
"34214","Bandhan Corp Bond Fund-Reg(IDCW)","70","Debt - Corporate Bond Fund","7.4","1.3","6.3"
"35148","Bandhan Corp Bond Fund-Reg(H-IDCW)","70","Debt - Corporate Bond Fund","7.4","1.3","6.4"
"31896","Bandhan Corp Bond Fund-Reg(G)","70","Debt - Corporate Bond Fund","7.4","1.3","7.1"
"35186","Bandhan Corp Bond Fund(Q-IDCW)-Direct Plan","70","Debt - Corporate Bond Fund","7.8","1.3","6.5"
